model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,47.0,2.0,41.0,5.0,2.0,43.0,2.0,17.0,3.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,48.0,9.0,51.0,4.0,6.0,70.0,9.0,13.0,1.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,4.0,9.0,10.0,6.0,4.0,33.0,10.0,68.0,3.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,24.0,8.0,87.0,6.0,3.0,57.0,3.0,72.0,2.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,33.0,7.0,59.0,3.0,8.0,3.0,9.0,99.0,3.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,11.0,8.0,78.0,5.0,6.0,6.0,6.0,30.0,6.0,1.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,18.0,10.0,99.0,3.0,5.0,57.0,0.0,90.0,6.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,33.0,8.0,57.0,6.0,6.0,19.0,3.0,83.0,5.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,64.0,8.0,86.0,6.0,3.0,33.0,3.0,13.0,3.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,26.0,7.0,32.0,7.0,5.0,37.0,7.0,93.0,1.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,44.0,3.0,63.0,4.0,6.0,37.0,5.0,2.0,3.0,1.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,8.0,2.0,27.0,3.0,2.0,39.0,2.0,99.0,3.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,21.0,3.0,51.0,3.0,4.0,3.0,1.0,14.0,2.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,70.0,5.0,35.0,6.0,5.0,54.0,2.0,66.0,5.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,3.0,8.0,17.0,5.0,4.0,60.0,8.0,5.0,6.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,18.0,5.0,77.0,7.0,8.0,50.0,3.0,2.0,3.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,31.0,5.0,66.0,5.0,5.0,10.0,3.0,99.0,6.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,15.0,9.0,30.0,6.0,5.0,67.0,9.0,1.0,6.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,58.0,6.0,15.0,5.0,8.0,38.0,10.0,56.0,2.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,64.0,9.0,16.0,3.0,3.0,29.0,0.0,90.0,3.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,10.0,4.0,5.0,7.0,1.0,40.0,3.0,62.0,6.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,47.0,1.0,42.0,3.0,2.0,66.0,9.0,30.0,3.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,64.0,3.0,64.0,6.0,4.0,52.0,4.0,17.0,6.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,8.0,8.0,25.0,6.0,5.0,61.0,7.0,14.0,4.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,1.0,3.0,36.0,5.0,3.0,63.0,2.0,96.0,5.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,5.0,8.0,76.0,5.0,4.0,4.0,7.0,51.0,3.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,9.0,7.0,87.0,4.0,1.0,43.0,1.0,90.0,1.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,40.0,5.0,31.0,5.0,7.0,17.0,1.0,3.0,7.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,16.0,10.0,54.0,5.0,4.0,49.0,0.0,15.0,4.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,60.0,8.0,52.0,6.0,4.0,4.0,3.0,45.0,6.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,19.0,7.0,12.0,2.0,5.0,24.0,2.0,80.0,4.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,4.0,1.0,49.0,5.0,4.0,26.0,1.0,13.0,7.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,26.0,4.0,69.0,4.0,8.0,28.0,8.0,15.0,4.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,59.0,4.0,46.0,4.0,3.0,12.0,8.0,62.0,5.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,30.0,6.0,36.0,6.0,5.0,6.0,6.0,36.0,7.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,61.0,4.0,56.0,4.0,3.0,9.0,3.0,7.0,1.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,62.0,3.0,60.0,6.0,7.0,32.0,3.0,33.0,3.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,7.0,5.0,37.0,2.0,5.0,56.0,9.0,9.0,5.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,49.0,7.0,29.0,3.0,8.0,45.0,3.0,89.0,6.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,38.0,8.0,41.0,5.0,3.0,2.0,6.0,30.0,4.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,A,24.0,10.0,62.0,7.0,3.0,56.0,4.0,37.0,3.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,17.0,2.0,47.0,5.0,6.0,31.0,9.0,46.0,1.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,loose_leaf_tea,B,53.0,2.0,23.0,1.0,7.0,8.0,5.0,93.0,1.0,5.0
